,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
337,57673,65440,64990,65400,65477,36,61148
338,57671,65433,64990,65401,65476,35,61147
339,57681,65432,64988,65399,65476,36,61148
340,57671,65445,64994,65400,65475,35,61147
341,57670,65438,64999,65400,65477,37,61149
342,57677,65435,64994,65400,65476,37,61149
343,57671,65439,64995,65399,65476,35,61149
344,57672,65434,64999,65399,65475,35,61148
345,57673,65444,64998,65400,65475,36,61149
346,57672,65434,65001,65400,65475,36,61150
347,57673,65434,65005,65400,65475,36,61151
348,57669,65438,64996,65400,65476,35,61151
349,57675,65435,65003,65399,65476,35,61150
350,57670,65432,64992,65399,65476,37,61146
351,57678,65430,64992,65400,65476,36,61145
352,57671,65424,65008,65400,65474,38,61147
353,57676,65439,64999,65400,65475,36,61146
354,57674,65433,64992,65401,65476,36,61150
355,57675,65431,64989,65401,65477,36,61148
356,57678,65437,64988,65400,65475,37,61150
357,57672,65439,64997,65399,65476,36,61150
358,57678,65431,64991,65400,65478,35,61146
359,57667,65433,64995,65400,65479,37,61149
360,57671,65429,65004,65400,65477,36,61151
361,57669,65433,64997,65399,65477,34,61149
362,57668,65431,64989,65400,65476,34,61150
363,57667,65443,64995,65400,65475,35,61144
364,57678,65439,64992,65400,65476,35,61147
365,57675,65441,64985,65400,65476,34,61146
366,57675,65441,65001,65400,65476,35,61147
367,57671,65430,64996,65402,65478,37,61148
368,57677,65422,64996,65402,65477,35,61147
369,57673,65429,64997,65400,65475,35,61148
370,57672,65431,64986,65401,65474,34,61145
371,57671,65432,65002,65401,65476,35,61148
372,57675,65429,65004,65399,65479,36,61148
373,57670,65430,64992,65398,65477,36,61151
374,57671,65437,64995,65399,65477,33,61149
375,57674,65438,64993,65400,65476,34,61149
376,57676,65435,64995,65400,65477,35,61150
377,57672,65432,64992,65401,65477,35,61152
378,57680,65428,65000,65400,65476,37,61151
379,57672,65436,64993,65401,65480,37,61152
380,57678,65433,64998,65400,65477,35,61151
381,57672,65436,64987,65400,65477,35,61148
382,57673,65437,64994,65400,65478,35,61150
383,57680,65436,64991,65400,65476,36,61148
384,57681,65440,64994,65401,65476,34,61149
385,57674,65439,64994,65401,65477,35,61147
386,57681,65435,65002,65400,65477,35,61149
387,57677,65430,64998,65401,65477,33,61152
388,57674,65437,64996,65402,65477,34,61148
389,57671,65438,65006,65401,65475,34,61151
390,57675,65433,64998,65400,65478,33,61148
391,57670,65435,64991,65399,65476,34,61150
392,57680,65439,64994,65400,65478,34,61146
393,57679,65432,64987,65401,65476,35,61146
394,57667,65424,64986,65400,65476,36,61149
395,57668,65431,64999,65400,65477,35,61149
396,57673,65429,64995,65400,65476,35,61150
397,57678,65434,64997,65400,65475,36,61149
398,57675,65428,64994,65400,65477,34,61150
399,57680,65431,64994,65400,65477,36,61148
400,57669,65437,64997,65401,65478,33,61148
401,57676,65441,64993,65399,65478,35,61145
402,57673,65440,65003,65400,65478,33,61149
403,57670,65435,64999,65402,65476,38,61146
404,57671,65429,64992,65400,65476,37,61146
405,57676,65432,64995,65400,65477,37,61145
406,57677,65432,64994,65400,65478,35,61146
407,57673,65431,65002,65400,65478,34,61147
408,57674,65432,64994,65400,65478,35,61150
409,57672,65427,64983,65401,65476,34,61146
410,57673,65436,65001,65400,65478,36,61149
411,57668,65433,64996,65399,65477,36,61147
412,57670,65434,64993,65402,65475,37,61145
413,57672,65430,64996,65400,65477,35,61146
414,57675,65427,65011,65399,65478,34,61148
415,57670,65429,65006,65399,65474,35,61146
416,57671,65432,64993,65400,65475,35,61144
417,57667,65440,65000,65400,65475,35,61144
418,57666,65442,65006,65401,65477,35,61149
419,57669,65438,65007,65400,65477,33,61146
420,57677,65442,65002,65400,65478,35,61146
421,57675,65435,65003,65400,65477,34,61146
422,57674,65436,64989,65398,65475,35,61147
423,57671,65436,64996,65399,65474,36,61145
424,57675,65436,65000,65399,65476,33,61147
425,57676,65434,64990,65400,65477,36,61147
426,57682,65436,64990,65399,65477,35,61145
427,57674,65432,64995,65399,65475,35,61150
428,57672,65431,64996,65399,65477,35,61150
429,57674,65432,64997,65400,65477,34,61150
430,57674,65432,64988,65400,65476,33,61151
431,57671,65436,64981,65400,65478,33,61151
432,57671,65434,64987,65401,65475,36,61150
433,57669,65426,64997,65401,65475,35,61152
434,57666,65433,64992,65400,65476,37,61149
435,57671,65432,64995,65400,65477,36,61149
436,57672,65435,64994,65399,65476,34,61148
437,57665,65441,64993,65401,65475,33,61151
438,57676,65434,64992,65401,65476,37,61147
439,57682,65426,64997,65400,65477,37,61145
440,57670,65427,65004,65400,65475,36,61144
441,57680,65427,64998,65399,65475,35,61146
442,57674,65431,64996,65400,65475,36,61142
443,57676,65435,64999,65399,65475,36,61144
444,57675,65433,64998,65401,65477,35,61144
445,57675,65434,65002,65400,65475,37,61144
446,57664,65433,64991,65399,65475,34,61145
447,57672,65426,64994,65400,65476,36,61145
448,57677,65434,64997,65400,65476,38,61146
449,57680,65436,64996,65400,65476,36,61142
450,57673,65441,64996,65400,65476,37,61147
451,57672,65447,64992,65400,65475,36,61146
452,57681,65437,64988,65399,65476,36,61144
453,57670,65420,64977,65401,65478,37,61145
454,57670,65429,64993,65400,65478,36,61147
455,57671,65429,64997,65399,65480,37,61145
456,57671,65430,65002,65400,65478,38,61145
457,57682,65435,65011,65400,65475,39,61147
458,57675,65436,65011,65399,65475,37,61148
459,57674,65431,64997,65400,65474,35,61149
460,57680,65434,64993,65401,65476,35,61149
461,57679,65427,64995,65400,65476,36,61147
462,57680,65430,65000,65400,65475,36,61148
463,57675,65433,65001,65399,65476,35,61147
464,57670,65430,65005,65399,65474,36,61148
465,57676,65432,64986,65400,65476,36,61147
466,57669,65432,64994,65400,65476,34,61150
467,57666,65431,64999,65399,65475,37,61146
468,57674,65435,64998,65401,65477,36,61145
469,57680,65430,64991,65401,65476,37,61148
470,57673,65429,64991,65401,65474,37,61149
471,57678,65435,65001,65401,65478,37,61147
472,57681,65436,64989,65400,65476,37,61146
473,57670,65435,64989,65400,65477,39,61149
474,57676,65431,64991,65400,65475,37,61149
475,57678,65427,64989,65401,65475,36,61144
476,57673,65429,64995,65399,65476,36,61145
477,57669,65429,65001,65401,65476,35,61147
478,57668,65425,64999,65400,65475,36,61148
479,57674,65429,65005,65399,65476,36,61147
480,57675,65434,65005,65400,65476,35,61147
481,57677,65433,64996,65400,65477,36,61147
482,57678,65431,64990,65400,65477,38,61148
483,57675,65429,64984,65399,65477,36,61147
484,57672,65429,64987,65400,65478,37,61147
485,57676,65434,64986,65399,65477,37,61145
486,57676,65434,64990,65400,65477,36,61148
487,57672,65435,64988,65401,65476,36,61146
488,57666,65427,64993,65401,65479,36,61146
489,57665,65437,64989,65400,65477,36,61144
490,57668,65434,64990,65401,65477,37,61144
491,57669,65426,64988,65400,65476,36,61141
492,57674,65435,64998,65401,65475,36,61143
493,57673,65430,65001,65401,65477,36,61146
494,57673,65439,64988,65399,65476,37,61144
495,57672,65439,64993,65400,65476,35,61142
496,57667,65440,64984,65401,65477,35,61142
497,57676,65431,64988,65401,65476,35,61145
498,57677,65431,64998,65401,65478,35,61143
499,57666,65435,64997,65402,65478,34,61145
500,57669,65436,64997,65399,65476,35,61146
501,57671,65435,65001,65399,65478,34,61145
502,57674,65430,64999,65400,65477,35,61146
503,57682,65428,65005,65401,65477,36,61145
504,57671,65434,65006,65401,65478,34,61143
505,57673,65431,64997,65400,65475,35,61142
506,57675,65433,65000,65399,65476,36,61146
507,57670,65428,64997,65400,65476,35,61145
508,57679,65439,64996,65400,65478,34,61145
509,57665,65443,64997,65401,65477,35,61144
510,57669,65432,64993,65400,65477,37,61145
511,57666,65435,64996,65401,65477,37,61144
512,57674,65433,64993,65400,65477,33,61143
513,57677,65432,64990,65400,65476,34,61145
514,57677,65442,64983,65399,65475,37,61147
515,57679,65427,64984,65400,65476,34,61146
516,57675,65441,64987,65399,65476,36,61147
517,57677,65439,64986,65399,65476,35,61145
518,57672,65436,65000,65398,65476,36,61148
519,57666,65438,65000,65400,65477,36,61150
520,57667,65443,64998,65401,65478,35,61146
521,57666,65432,65000,65400,65478,34,61150
522,57672,65432,65001,65399,65477,35,61148
523,57677,65429,65002,65400,65476,35,61146
524,57672,65430,64994,65400,65476,35,61146
525,57665,65432,64995,65400,65476,35,61146
526,57677,65430,65006,65400,65475,38,61143
527,57675,65430,64999,65400,65476,36,61142
528,57675,65429,65005,65400,65477,35,61146
529,57675,65432,64998,65401,65476,34,61144
530,57679,65436,64989,65400,65477,35,61143
531,57675,65432,64991,65401,65477,34,61146
532,57671,65423,64994,65401,65476,36,61146
533,57674,65425,64991,65401,65477,36,61145
534,57671,65427,64996,65401,65476,37,61148
535,57673,65430,64998,65400,65477,36,61146
536,57664,65431,64995,65400,65478,35,61146
537,57677,65425,64983,65400,65476,34,61145
538,57674,65428,64998,65400,65476,37,61141
539,57674,65431,64992,65401,65476,36,61145
540,57677,65431,64993,65400,65477,36,61145
541,57679,65431,64997,65399,65478,36,61146
542,57674,65431,64994,65399,65477,38,61148
543,57671,65436,64988,65399,65478,36,61150
544,57672,65433,64987,65401,65476,37,61151
545,57671,65431,64986,65400,65476,36,61148
546,57677,65431,64989,65399,65475,36,61147
547,57669,65436,65002,65399,65477,36,61144
548,57674,65431,64993,65401,65476,35,61145
549,57676,65434,64992,65400,65476,33,61144
550,57675,65428,65000,65400,65478,35,61145
551,57677,65429,64999,65400,65479,37,61141
552,57671,65432,64989,65401,65476,37,61147
553,57679,65430,64994,65401,65478,35,61145
