,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
471,170,1,1838,65269,65412,72,61156
472,174,1,1840,65267,65414,69,61154
473,173,0,1839,65264,65418,73,61153
474,172,0,1839,65266,65415,72,61152
475,172,0,1839,65266,65417,69,61156
476,169,0,1839,65266,65418,70,61157
477,172,0,1840,65265,65418,70,61156
478,172,0,1839,65264,65419,66,61158
479,172,0,1840,65266,65415,71,61158
480,173,0,1840,65269,65413,73,61156
481,172,65535,1840,65269,65416,72,61157
482,173,0,1842,65267,65415,74,61157
483,174,1,1843,65266,65414,73,61155
484,171,65535,1839,65265,65415,73,61156
485,173,0,1839,65267,65415,77,61160
486,173,65535,1841,65267,65415,74,61158
487,174,65535,1842,65266,65416,74,61158
488,175,1,1841,65266,65414,73,61155
489,172,1,1840,65269,65416,71,61155
490,171,1,1839,65267,65414,70,61154
491,173,2,1839,65268,65416,73,61157
492,172,1,1839,65267,65417,72,61159
493,170,1,1840,65267,65416,70,61158
494,171,0,1839,65268,65416,71,61156
495,172,0,1840,65267,65418,74,61155
496,173,2,1839,65267,65414,73,61156
497,172,0,1840,65268,65416,75,61154
498,173,2,1836,65266,65413,72,61153
499,170,2,1838,65268,65415,70,61155
500,169,0,1841,65269,65412,71,61154
501,171,0,1839,65266,65409,71,61156
502,173,65535,1842,65265,65410,73,61154
503,171,0,1841,65265,65416,75,61153
504,173,1,1838,65264,65415,73,61153
505,171,0,1836,65267,65417,74,61155
506,173,65535,1838,65266,65415,75,61151
507,173,1,1840,65267,65418,75,61157
508,172,0,1840,65266,65419,71,61158
509,173,2,1841,65265,65417,72,61158
510,172,1,1841,65263,65415,69,61154
511,171,0,1840,65261,65416,69,61156
512,171,1,1839,65264,65415,73,61156
513,172,2,1841,65266,65418,75,61154
514,174,1,1838,65266,65418,75,61156
515,172,1,1839,65267,65416,76,61154
516,172,1,1841,65267,65415,69,61154
517,172,2,1842,65267,65416,71,61153
518,171,0,1841,65267,65416,71,61154
519,172,65535,1838,65266,65415,68,61153
520,171,1,1840,65264,65418,75,61152
521,172,1,1837,65264,65417,72,61155
522,171,1,1839,65264,65417,70,61155
523,172,1,1840,65264,65418,73,61154
524,172,0,1842,65266,65417,69,61154
525,171,3,1841,65264,65417,68,61152
526,172,0,1840,65267,65418,74,61150
527,173,0,1843,65268,65415,71,61152
528,171,65535,1840,65267,65414,70,61154
529,173,1,1840,65268,65415,74,61154
530,172,3,1841,65266,65416,71,61153
531,170,2,1840,65266,65416,77,61152
532,172,2,1838,65266,65413,76,61153
533,171,1,1840,65265,65417,73,61153
534,171,1,1840,65266,65416,70,61155
535,173,1,1838,65266,65413,70,61152
536,172,2,1838,65267,65416,72,61154
537,173,1,1840,65267,65415,73,61151
538,173,1,1838,65266,65416,72,61155
539,172,0,1838,65269,65415,74,61153
540,174,0,1840,65271,65418,73,61152
541,173,0,1838,65268,65414,69,61153
542,173,1,1837,65266,65417,73,61156
543,172,0,1838,65267,65416,73,61157
544,171,1,1840,65266,65415,74,61156
545,171,1,1839,65265,65417,75,61156
546,173,0,1839,65267,65411,73,61151
547,173,1,1839,65266,65412,73,61153
548,172,1,1838,65266,65414,70,61153
549,172,0,1838,65267,65414,71,61154
550,172,1,1840,65264,65415,72,61150
551,171,65535,1839,65263,65416,72,61151
552,173,0,1839,65264,65418,71,61149
553,172,1,1836,65263,65416,71,61150
554,171,0,1839,65263,65415,73,61152
555,171,1,1839,65267,65415,73,61153
556,174,1,1841,65267,65415,69,61155
557,174,2,1840,65266,65416,74,61150
558,172,1,1838,65265,65420,74,61150
559,172,2,1839,65267,65418,67,61151
560,171,3,1840,65266,65416,69,61149
561,171,0,1839,65268,65418,70,61151
562,171,0,1842,65268,65417,75,61149
563,171,65535,1838,65266,65414,73,61148
564,172,1,1839,65267,65417,70,61151
565,172,1,1841,65267,65415,69,61151
566,173,0,1841,65270,65413,68,61150
567,172,65535,1839,65267,65415,70,61149
568,172,0,1840,65268,65414,70,61154
569,174,1,1840,65269,65416,74,61153
570,173,1,1837,65266,65418,69,61152
571,172,1,1836,65264,65419,72,61151
572,172,2,1838,65265,65418,75,61152
573,172,0,1838,65266,65415,69,61150
574,173,0,1841,65269,65416,73,61149
575,172,1,1838,65267,65414,75,61152
576,175,3,1839,65269,65417,79,61151
577,171,1,1836,65263,65411,72,61150
578,172,65535,1841,65260,65410,75,61152
579,170,65534,1840,65270,65419,76,61156
580,170,1,1841,65266,65418,75,61152
581,172,65535,1841,65266,65417,71,61151
582,171,65535,1841,65264,65415,72,61153
583,171,0,1840,65269,65412,68,61152
584,171,0,1841,65266,65413,71,61153
585,171,65535,1838,65266,65416,71,61154
586,170,1,1838,65266,65416,72,61153
587,171,65535,1838,65265,65417,70,61151
588,172,65534,1838,65264,65417,74,61150
589,172,0,1837,65264,65416,73,61150
590,172,65535,1839,65267,65415,74,61147
591,172,0,1839,65268,65416,71,61150
592,172,1,1839,65269,65415,73,61148
593,172,0,1843,65265,65416,72,61149
594,171,1,1842,65266,65418,69,61148
595,172,2,1839,65267,65419,70,61150
596,172,65535,1839,65266,65414,73,61150
597,173,0,1840,65266,65415,73,61151
598,173,2,1838,65264,65416,67,61151
599,171,1,1843,65263,65417,71,61151
600,171,1,1841,65265,65417,74,61153
601,172,0,1841,65264,65413,72,61150
602,172,65535,1840,65265,65414,71,61151
603,171,65534,1838,65265,65418,70,61151
604,171,65534,1840,65268,65416,71,61150
605,173,0,1839,65269,65418,71,61150
606,172,1,1841,65266,65417,69,61152
607,171,0,1840,65266,65412,69,61153
608,173,1,1841,65267,65417,74,61152
609,172,1,1840,65269,65419,74,61153
610,173,1,1839,65270,65415,76,61155
611,173,1,1839,65266,65417,71,61156
612,171,2,1839,65266,65415,72,61150
613,171,3,1835,65267,65416,74,61151
614,173,1,1837,65268,65412,74,61149
615,172,2,1840,65268,65417,73,61149
616,171,65535,1839,65269,65414,72,61150
617,172,65535,1841,65269,65416,76,61148
618,174,0,1839,65267,65414,73,61148
619,172,0,1842,65264,65416,71,61149
620,172,2,1841,65265,65417,73,61149
621,171,1,1840,65263,65417,71,61154
622,170,0,1840,65264,65418,73,61151
623,171,65535,1839,65266,65416,72,61151
624,173,1,1840,65265,65419,71,61149
625,175,3,1840,65265,65419,71,61149
626,172,1,1837,65268,65418,71,61150
627,172,0,1836,65269,65419,77,61153
628,172,2,1838,65267,65418,72,61152
629,173,1,1842,65267,65417,74,61147
630,171,0,1839,65268,65416,76,61148
631,172,0,1839,65266,65420,75,61147
632,169,1,1840,65267,65416,74,61147
633,170,65533,1840,65267,65416,73,61147
634,171,0,1840,65267,65418,74,61149
635,171,65535,1840,65265,65414,73,61148
636,173,1,1843,65265,65417,73,61147
637,173,1,1841,65265,65416,69,61149
638,174,65535,1840,65266,65421,71,61152
639,171,65535,1840,65265,65418,73,61151
640,171,1,1839,65262,65419,72,61154
641,171,0,1839,65262,65414,72,61153
642,171,2,1839,65264,65410,70,61150
643,171,1,1839,65264,65412,72,61152
644,174,1,1839,65263,65411,69,61153
645,171,0,1838,65264,65414,71,61152
646,172,65535,1840,65269,65416,71,61151
647,173,0,1841,65266,65417,73,61150
648,172,0,1840,65266,65417,68,61154
649,172,0,1838,65266,65419,71,61150
650,172,2,1838,65266,65416,71,61153
651,172,1,1839,65267,65417,73,61153
652,172,1,1839,65268,65419,73,61151
653,172,2,1838,65266,65418,70,61148
654,170,1,1836,65267,65419,71,61150
655,171,1,1838,65266,65418,76,61150
656,172,1,1839,65266,65419,74,61151
657,172,1,1836,65266,65414,70,61148
658,171,0,1839,65265,65415,70,61148
659,173,0,1839,65265,65411,68,61148
660,173,1,1841,65268,65413,73,61151
661,171,2,1842,65266,65418,72,61151
662,172,2,1838,65267,65419,74,61152
663,173,0,1838,65266,65417,74,61149
664,171,65534,1838,65268,65416,72,61151
665,172,65535,1840,65266,65418,71,61149
666,172,1,1840,65266,65420,71,61149
667,173,65534,1838,65266,65419,73,61153
668,173,1,1838,65266,65415,70,61152
669,173,0,1838,65265,65414,70,61151
670,171,1,1842,65264,65418,67,61151
671,171,1,1841,65268,65417,69,61149
672,173,0,1839,65267,65415,73,61153
673,171,65535,1841,65267,65415,71,61156
674,171,0,1842,65266,65415,75,61154
675,172,1,1839,65266,65417,72,61152
676,173,2,1839,65266,65412,70,61155
677,172,0,1838,65264,65413,75,61153
678,172,0,1839,65263,65414,75,61156
679,172,0,1839,65264,65414,78,61157
680,171,0,1842,65264,65413,75,61156
681,174,0,1841,65266,65412,74,61155
682,172,0,1840,65266,65417,73,61154
683,173,65535,1839,65266,65415,68,61155
684,174,0,1842,65267,65408,72,61152
