,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
353,170,0,1841,65267,65419,75,61145
354,172,0,1839,65269,65416,73,61144
355,173,2,1840,65266,65415,72,61147
356,172,2,1841,65269,65412,71,61144
357,169,0,1841,65267,65416,69,61145
358,171,1,1842,65266,65416,68,61144
359,173,1,1840,65265,65413,70,61148
360,171,0,1841,65262,65412,70,61147
361,171,65535,1840,65265,65414,75,61147
362,174,2,1843,65270,65416,72,61151
363,171,1,1844,65266,65414,73,61149
364,172,0,1839,65266,65418,71,61150
365,172,65535,1836,65266,65413,72,61151
366,171,0,1835,65266,65414,70,61152
367,171,1,1838,65268,65416,73,61148
368,170,65533,1838,65266,65417,68,61147
369,170,3,1838,65269,65417,73,61148
370,171,2,1837,65268,65417,74,61147
371,171,0,1837,65266,65419,77,61143
372,171,65535,1839,65266,65418,75,61144
373,172,2,1840,65267,65416,72,61146
374,173,65535,1839,65267,65416,72,61147
375,171,0,1837,65266,65416,72,61148
376,173,0,1839,65265,65415,72,61149
377,170,1,1839,65266,65417,71,61149
378,169,65534,1840,65264,65411,71,61146
379,172,65534,1841,65266,65412,71,61149
380,173,2,1841,65267,65413,71,61152
381,173,0,1839,65268,65414,73,61147
382,173,2,1841,65267,65417,73,61148
383,169,1,1843,65267,65416,70,61149
384,170,65535,1844,65265,65416,71,61148
385,172,1,1842,65265,65413,71,61147
386,171,3,1840,65265,65414,70,61147
387,173,1,1841,65265,65417,72,61147
388,173,0,1841,65265,65417,71,61145
389,173,2,1837,65267,65417,74,61147
390,173,1,1840,65264,65417,72,61147
391,170,0,1841,65265,65418,68,61146
392,170,0,1839,65267,65417,70,61146
393,172,0,1839,65266,65417,74,61147
394,171,0,1840,65266,65415,79,61147
395,173,2,1839,65265,65415,73,61150
396,171,65535,1839,65267,65415,71,61150
397,172,65535,1838,65266,65415,75,61149
398,171,0,1841,65264,65415,78,61147
399,170,2,1841,65264,65416,76,61150
400,171,1,1842,65268,65417,75,61149
401,172,65535,1839,65270,65415,72,61145
402,172,0,1839,65268,65417,73,61147
403,172,1,1840,65265,65416,69,61150
404,172,3,1839,65270,65414,73,61149
405,175,3,1840,65267,65419,71,61150
406,171,1,1841,65268,65417,73,61149
407,169,1,1840,65267,65419,71,61150
408,172,3,1841,65267,65416,74,61149
409,170,1,1839,65268,65418,71,61148
410,170,65535,1838,65265,65416,72,61149
411,173,65535,1837,65266,65414,71,61149
412,173,1,1839,65266,65414,76,61147
413,174,2,1839,65266,65416,74,61150
414,172,0,1840,65265,65417,76,61148
415,171,4,1843,65267,65417,75,61151
416,172,0,1841,65266,65418,75,61152
417,174,2,1841,65267,65417,76,61152
418,173,4,1838,65269,65414,77,61150
419,169,65534,1842,65268,65414,74,61152
420,171,1,1841,65269,65414,74,61156
421,171,4,1840,65268,65413,73,61153
422,172,0,1839,65266,65414,75,61154
423,172,65535,1840,65269,65415,74,61154
424,171,1,1838,65268,65419,78,61155
425,175,1,1841,65265,65421,74,61154
426,173,0,1839,65268,65415,71,61156
427,169,1,1838,65266,65416,75,61153
428,173,2,1841,65265,65418,75,61154
429,172,1,1839,65264,65419,73,61154
430,170,2,1840,65268,65416,71,61154
431,172,2,1841,65266,65417,75,61151
432,169,1,1840,65270,65416,76,61150
433,171,0,1838,65269,65417,76,61149
434,174,2,1840,65269,65417,75,61148
435,173,3,1840,65268,65415,76,61151
436,171,0,1841,65264,65414,72,61154
437,171,3,1841,65263,65416,75,61154
438,172,1,1839,65266,65416,75,61154
439,173,1,1840,65263,65415,68,61151
440,171,1,1837,65264,65416,74,61151
441,172,2,1841,65266,65417,72,61150
442,172,2,1842,65266,65416,74,61150
443,172,2,1840,65266,65415,73,61154
444,173,1,1840,65268,65415,72,61152
445,172,1,1839,65265,65410,70,61153
446,169,1,1840,65265,65412,73,61153
447,170,2,1837,65265,65414,69,61155
448,172,0,1838,65263,65417,73,61152
449,174,1,1836,65266,65418,71,61150
450,170,65534,1840,65265,65416,70,61153
451,172,1,1839,65267,65419,71,61154
452,172,1,1841,65266,65416,75,61152
453,172,65535,1839,65265,65414,73,61153
454,172,65534,1840,65268,65418,74,61155
455,172,2,1838,65269,65417,72,61153
456,173,2,1841,65265,65421,73,61154
457,172,0,1840,65267,65417,69,61156
458,170,65535,1837,65266,65417,69,61157
459,171,0,1839,65265,65414,72,61155
460,173,0,1839,65264,65416,76,61154
461,171,1,1841,65263,65414,70,61154
462,174,3,1839,65268,65417,74,61154
463,173,2,1840,65267,65420,71,61155
464,171,2,1839,65266,65419,69,61154
465,170,1,1837,65265,65416,73,61154
466,172,1,1840,65268,65417,72,61152
467,171,2,1839,65270,65415,72,61156
468,171,65535,1841,65265,65418,72,61153
469,172,2,1841,65269,65421,72,61152
470,172,4,1841,65270,65419,71,61150
471,172,1,1840,65266,65414,71,61151
472,173,0,1840,65267,65415,75,61154
473,175,3,1839,65266,65414,75,61153
474,173,1,1840,65266,65415,72,61151
475,170,65535,1841,65267,65416,70,61151
476,173,1,1840,65266,65414,71,61151
477,171,2,1842,65263,65416,71,61154
478,173,1,1840,65265,65416,73,61152
479,171,3,1839,65267,65417,73,61151
480,170,2,1839,65266,65418,75,61152
481,169,65535,1840,65267,65416,69,61156
482,172,1,1840,65267,65415,74,61152
483,170,2,1839,65265,65415,74,61153
484,171,65533,1841,65268,65417,71,61154
485,171,65534,1840,65266,65417,74,61154
486,173,2,1837,65268,65417,73,61151
487,172,2,1839,65267,65419,72,61156
488,170,0,1840,65267,65415,75,61155
489,171,0,1839,65266,65415,72,61156
490,172,1,1841,65265,65417,72,61156
491,171,0,1839,65265,65417,75,61159
492,173,65534,1839,65266,65417,70,61156
493,171,4,1842,65268,65420,74,61157
494,170,0,1842,65265,65414,74,61157
495,172,0,1840,65266,65416,71,61157
496,170,3,1838,65266,65414,71,61158
497,171,0,1840,65267,65413,74,61157
498,169,65535,1841,65268,65416,72,61155
499,172,2,1840,65266,65419,68,61156
500,172,2,1840,65269,65417,68,61160
501,171,65534,1838,65265,65417,69,61157
502,172,2,1838,65266,65419,70,61156
503,171,1,1840,65264,65417,72,61154
504,172,2,1840,65265,65416,74,61152
505,171,2,1837,65267,65415,76,61154
506,170,65535,1841,65267,65416,75,61154
507,172,0,1841,65269,65415,77,61156
508,173,3,1841,65266,65416,74,61155
509,172,0,1838,65266,65413,72,61157
510,173,0,1839,65265,65417,71,61157
511,172,3,1841,65263,65418,66,61157
512,172,5,1837,65266,65417,72,61153
513,171,65534,1838,65266,65418,71,61157
514,171,1,1839,65265,65420,67,61157
515,173,0,1840,65266,65418,75,61156
516,173,65535,1841,65265,65417,73,61157
517,172,2,1838,65265,65419,71,61156
518,173,0,1837,65265,65418,75,61158
519,172,2,1840,65267,65420,74,61160
520,171,3,1839,65268,65418,76,61159
521,172,4,1839,65267,65417,70,61160
522,171,65535,1842,65267,65418,71,61160
523,173,3,1839,65265,65417,66,61160
524,174,1,1839,65264,65416,72,61156
525,173,0,1837,65264,65418,68,61155
526,172,0,1838,65263,65419,71,61156
527,174,2,1839,65265,65415,71,61156
528,171,1,1835,65266,65416,75,61158
529,169,65534,1834,65267,65416,73,61157
530,170,0,1841,65267,65417,75,61157
531,170,65535,1841,65268,65416,73,61155
532,172,65535,1838,65267,65417,72,61157
533,174,65535,1837,65265,65416,71,61157
534,171,1,1839,65268,65417,70,61157
535,173,2,1839,65267,65418,71,61156
536,172,2,1839,65266,65420,73,61155
537,171,2,1840,65265,65414,72,61158
538,172,2,1841,65266,65411,73,61155
539,171,65534,1842,65264,65412,66,61156
540,170,0,1840,65268,65415,70,61156
541,171,2,1840,65267,65415,71,61154
542,172,0,1841,65268,65416,72,61156
543,171,2,1841,65267,65418,72,61157
544,171,65535,1839,65266,65420,72,61158
545,173,2,1837,65267,65418,72,61158
546,171,2,1839,65267,65420,71,61158
547,171,1,1840,65266,65417,73,61155
548,174,0,1838,65264,65416,72,61160
549,171,3,1839,65266,65416,76,61157
550,172,0,1837,65267,65418,73,61156
551,171,65535,1838,65266,65417,75,61157
552,168,2,1836,65265,65418,77,61154
553,171,2,1839,65266,65417,73,61157
554,171,0,1839,65266,65419,74,61159
555,171,0,1840,65267,65418,70,61160
556,169,2,1841,65267,65411,74,61156
557,170,2,1841,65266,65415,78,61156
558,170,0,1838,65267,65415,71,61157
559,170,0,1838,65266,65420,74,61158
560,171,2,1839,65267,65417,73,61158
561,171,1,1841,65265,65415,73,61158
562,171,0,1841,65267,65416,73,61157
563,174,1,1840,65267,65414,73,61157
564,172,65535,1839,65267,65417,69,61159
565,173,1,1839,65263,65419,69,61159
566,173,1,1839,65263,65417,75,61157
567,172,2,1839,65265,65415,71,61159
568,171,65535,1841,65265,65418,69,61158
569,174,1,1840,65264,65418,71,61161
570,169,0,1840,65266,65416,72,61161
571,171,65534,1841,65264,65421,74,61162
572,172,3,1839,65267,65420,77,61160
573,173,5,1840,65267,65419,71,61158
574,171,65533,1839,65267,65417,70,61160
575,171,1,1840,65267,65415,70,61161
576,172,5,1839,65269,65414,69,61159
577,171,0,1841,65266,65414,74,61159
578,170,65535,1841,65268,65415,69,61159
579,174,5,1841,65266,65418,72,61160
580,173,1,1842,65267,65412,70,61162
581,171,0,1840,65267,65415,74,61161
582,173,1,1840,65267,65419,74,61159
583,173,3,1841,65267,65416,70,61161
584,172,0,1842,65265,65418,70,61160
585,174,1,1842,65265,65415,73,61159
586,174,2,1840,65267,65417,73,61158
587,173,65535,1840,65265,65416,73,61158
588,171,0,1839,65265,65416,72,61159
589,171,3,1837,65267,65414,71,61158
590,172,1,1838,65268,65417,70,61160
591,174,1,1840,65270,65415,71,61162
592,174,3,1841,65269,65414,70,61161
593,173,2,1843,65266,65417,67,61160
594,173,0,1842,65266,65421,70,61162
595,172,1,1841,65267,65419,71,61159
596,172,1,1840,65266,65419,70,61161
597,170,0,1839,65264,65418,70,61159
598,171,0,1836,65264,65416,72,61159
599,172,2,1840,65269,65417,70,61158
600,174,1,1837,65268,65417,71,61156
601,173,65535,1840,65268,65414,67,61159
602,174,1,1838,65270,65418,67,61160
603,173,1,1840,65267,65420,68,61158
604,173,0,1839,65266,65414,74,61162
605,173,65535,1839,65266,65414,71,61161
606,174,1,1840,65269,65412,75,61159
607,173,0,1841,65267,65416,75,61161
608,172,0,1839,65268,65418,73,61164
609,170,1,1839,65268,65418,72,61159
610,173,2,1838,65269,65415,74,61158
611,172,1,1841,65268,65415,72,61157
612,174,1,1842,65268,65416,75,61158
613,173,2,1838,65267,65416,73,61156
614,171,2,1838,65266,65414,74,61158
615,171,2,1838,65266,65415,72,61157
616,171,1,1838,65269,65416,73,61160
617,170,2,1840,65268,65415,73,61159
618,170,2,1842,65266,65416,70,61160
619,171,4,1839,65264,65414,73,61159
620,173,1,1841,65266,65420,71,61159
621,172,1,1837,65269,65415,70,61159
622,172,0,1841,65267,65413,70,61159
623,170,0,1840,65266,65416,71,61160
624,169,65535,1839,65266,65416,74,61160
625,172,65535,1840,65267,65418,72,61159
626,172,0,1840,65263,65420,75,61160
627,172,65534,1840,65264,65416,75,61161
628,172,65535,1839,65265,65418,72,61161
629,171,2,1840,65266,65417,74,61158
630,172,1,1839,65264,65417,71,61159
631,172,2,1839,65267,65418,71,61156
632,175,2,1840,65267,65414,74,61159
633,172,1,1840,65265,65415,73,61161
634,171,1,1841,65267,65418,71,61162
635,172,1,1841,65266,65413,74,61163
